Documento	Id
Indivíduo de numero 1 registrado pela equipe do Trecho 04 na cidade de Penha ( Santa Catarina ) , atraves de monitoramento do tipo Acionamento com a mare Vazante e vento Sudoeste . Espécie : Chelonia mydas , Juvenil Sim , , , esta ameacada de extincao . Foi encontrado Morto em ambiente Rochoso com o Cod de carcaca 4 e Não apresentava oleo .	1
Indivíduo de numero 2 registrado pela equipe do Trecho 04 na cidade de Bombinhas ( Santa Catarina ) , atraves de monitoramento do tipo Regular com a mare Enchente e vento Noroeste . Espécie : Nannopterum brasilianum , Indeterminado Não , , , esta ameacada de extincao . Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo .	2
Indivíduo de numero 3 registrado pela equipe do Trecho 05 na cidade de Araquari , Balneário Barra Do Sul , Barra Velha ( Santa Catarina ) , atraves de monitoramento do tipo Acionamento com a mare Vazante e vento N / A. Espécie : Caretta caretta , Indeterminado Sim , , , esta ameacada de extincao . Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo .	3
Indivíduo de numero 4 registrado pela equipe do Trecho 04 na cidade de Navegantes ( Santa Catarina ) , atraves de monitoramento do tipo Regular com a mare Vazante e vento Sudoeste . Espécie : Chelonia mydas , Juvenil Sim , , , esta ameacada de extincao . Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo .	4
Indivíduo de numero 5 registrado pela equipe do Trecho 04 na cidade de Bombinhas ( Santa Catarina ) , atraves de monitoramento do tipo Regular com a mare Enchente e vento Sudoeste . Espécie : Eretmochelys imbricata , Juvenil Sim , , , esta ameacada de extincao . Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo .	5
Indivíduo de numero 6 registrado pela equipe do Trecho 05 na cidade de Itapoá ( Santa Catarina ) , atraves de monitoramento do tipo Regular com a mare Vazante e vento Sudoeste . Espécie : Chelonia mydas , Indeterminado Sim , , , esta ameacada de extincao . Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo .	6
Indivíduo de numero 7 registrado pela equipe do Trecho 05 na cidade de São Francisco Do Sul ( Santa Catarina ) , atraves de monitoramento do tipo Regular com a mare Vazante e vento N / A. Espécie : Chelonia mydas , Indeterminado Sim , , , esta ameacada de extincao . Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo .	7
Indivíduo de numero 8 registrado pela equipe do Trecho 05 na cidade de São Francisco Do Sul ( Santa Catarina ) , atraves de monitoramento do tipo Regular com a mare Vazante e vento N / A. Espécie : Caretta caretta , Indeterminado Sim , , , esta ameacada de extincao . Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo .	8
Indivíduo de numero 9 registrado pela equipe do Trecho 04 na cidade de Penha ( Santa Catarina ) , atraves de monitoramento do tipo Regular com a mare Enchente e vento Sul . Espécie : Chelonia mydas , Juvenil Sim , , , esta ameacada de extincao . Foi encontrado Morto em ambiente Rochoso com o Cod de carcaca 4 e Não apresentava oleo .	9
Indivíduo de numero 10 registrado pela equipe do Trecho 04 na cidade de Bombinhas ( Santa Catarina ) , atraves de monitoramento do tipo Regular com a mare Vazante e vento Sudeste . Espécie : Fregata magnificens , Indeterminado Não , , , esta ameacada de extincao . Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo .	10
Indivíduo de numero 11 registrado pela equipe do Trecho 05 na cidade de Araquari , Balneário Barra Do Sul , Barra Velha ( Santa Catarina ) , atraves de monitoramento do tipo Regular com a mare Enchente e vento Sudeste . Espécie : Caretta caretta , Indeterminado Sim , , , esta ameacada de extincao . Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo .	11
Indivíduo de numero 12 registrado pela equipe do Trecho 04 na cidade de Itapema ( Santa Catarina ) , atraves de monitoramento do tipo Regular com a mare Vazante e vento Sudoeste . Espécie : Chelonia mydas , Juvenil Sim , , , esta ameacada de extincao . Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo .	12
Indivíduo de numero 13 registrado pela equipe do Trecho 04 na cidade de Balneário Piçarras ( Santa Catarina ) , atraves de monitoramento do tipo Regular com a mare Vazante e vento Sudoeste . Espécie : Nannopterum brasilianum , Juvenil Não , , , esta ameacada de extincao . Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo .	13
Indivíduo de numero 14 registrado pela equipe do Trecho 01 na cidade de Imbituba ( Santa Catarina ) , atraves de monitoramento do tipo Acionamento com a mare Vazante e vento Sudoeste . Espécie : Lepidochelys olivacea , Juvenil Sim , , , esta ameacada de extincao . Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo .	14
